,mean,std,min,max,se,iqr
Mean RT,2462.4331163337256,1298.3721178987053,1006.34,6216.65,241.10164951285512,1037.5025
P(choose best),0.71941598119859,0.10005778273576972,0.5,0.95,0.018580263802364744,0.13844594594594595
Gaze Influence,0.2491178488254033,0.1370480472852732,0.04659952416693494,0.5836166229520126,0.025449183487143406,0.17767249010937858
