,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,22.053746417724767,-182.7063589634435,226.81385179889304,28.0,30.0,const,0.8269858402938977,0.963207197166538,99.96064805833205,0.22062428411683865
glam_nobias,1.0150580478676534,0.9382600812096966,1.0918560145256102,28.0,30.0,glam_nobias,1.2669318306555198e-21,0.963207197166538,0.03749155384737151,27.07431257717311
