,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,-67.01828371912944,-285.0528825764476,151.01631513818873,28.0,30.0,const,0.534042273488344,0.9607103170084348,106.44104602478124,-0.6296281953441765
glam_full,1.057561720391623,0.9747701684876349,1.1403532722956111,28.0,30.0,glam_full,3.1805130112413317e-21,0.9607103170084348,0.04041752746059499,26.16591827450829
