,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.19284158795022122,0.019409006604243134,0.36627416929619927,28.0,30.0,const,0.03058227188796922,0.6034699931041196,0.08466704582663194,2.2776463506839764
glam_nobias,0.7495431417177785,0.514339474342569,0.984746809092988,28.0,30.0,glam_nobias,4.4766228549203504e-07,0.6034699931041196,0.11482271398891661,6.527829866398464
