,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.24660326496797674,0.18595404592634146,0.307252484009612,28.0,30.0,const,4.619747034655824e-09,0.07708124058313848,0.029607990425419877,8.328943012500302
glam_nobias,-2.9710736367703214,-6.950844520109076,1.0086972465684325,28.0,30.0,glam_nobias,0.13742846019652427,0.07708124058313848,1.942861261385197,-1.529225836049684
