,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.043172852307818,-0.028569964607610403,0.11491566922324639,28.0,30.0,const,0.2279471714840426,0.615447156597575,0.03502370961885648,1.2326750300765994
glam_full,0.9804497224533004,0.6804331658123243,1.2804662790942767,28.0,30.0,glam_full,2.888209534777522e-07,0.615447156597575,0.14646334242812623,6.694164602548486
