,betas,ci0,ci1,df,n,predictors,pvals,r2,se,tvals
const,0.20295638426737067,0.0729063818997899,0.3330063866349514,28.0,30.0,const,0.003433245512073192,0.7237716844156112,0.06348835625206993,3.1967497073253273
glam_full,0.7503222160145285,0.5708825821266887,0.9297618499023683,28.0,30.0,glam_full,2.6125672710677684e-09,0.7237716844156112,0.08759959396088472,8.565361802356813
